[2025-01-15 20:42:31] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-15 21:11:04] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-19 22:29:38] INFO django.server "GET / HTTP/1.1" 302 0
[2025-01-19 22:29:38] INFO django.server "GET /admin/ HTTP/1.1" 302 0
[2025-01-19 22:29:38] INFO django.server "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3818
[2025-01-19 22:29:50] INFO django.server "POST /graphql/ HTTP/1.1" 200 23
[2025-01-19 22:29:58] INFO django.server "POST /graphql/ HTTP/1.1" 200 1117
[2025-01-19 22:30:02] INFO django.server "POST /graphql/ HTTP/1.1" 200 39
[2025-01-19 22:30:02] INFO django.server "POST /graphql/ HTTP/1.1" 200 72
[2025-01-19 22:30:04] INFO django.server "POST /graphql/ HTTP/1.1" 200 29
[2025-01-19 22:30:06] INFO django.server "POST /graphql/ HTTP/1.1" 200 27
[2025-01-19 22:30:06] WARNING django.request Bad Request: /graphql/
[2025-01-19 22:30:06] WARNING django.server "POST /graphql/ HTTP/1.1" 400 172
[2025-01-19 22:30:13] INFO django.server "POST /graphql/ HTTP/1.1" 200 72
[2025-01-19 22:30:39] INFO django.server "POST /graphql/ HTTP/1.1" 200 39
[2025-01-19 22:30:39] INFO django.server "POST /graphql/ HTTP/1.1" 200 72
[2025-01-19 22:30:40] INFO django.server "POST /graphql/ HTTP/1.1" 200 1117
[2025-01-19 22:30:42] WARNING django.request Bad Request: /graphql/
[2025-01-19 22:30:42] WARNING django.server "POST /graphql/ HTTP/1.1" 400 156
[2025-01-19 22:31:07] INFO django.utils.autoreload C:\Users\Lion\Desktop\yekikame\YekiKameDjango_Org\Eventapp\schema.py changed, reloading.
[2025-01-19 22:31:07] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-19 22:31:22] INFO django.server "POST /graphql/ HTTP/1.1" 200 584
[2025-01-19 22:31:24] INFO django.server "POST /graphql/ HTTP/1.1" 200 584
[2025-01-19 22:31:42] INFO django.utils.autoreload C:\Users\Lion\Desktop\yekikame\YekiKameDjango_Org\Eventapp\schema.py changed, reloading.
[2025-01-19 22:31:43] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-19 22:31:50] INFO django.server "POST /graphql/ HTTP/1.1" 200 584
[2025-01-19 22:31:50] INFO django.server "POST /graphql/ HTTP/1.1" 200 584
[2025-01-19 22:38:03] WARNING django.request Bad Request: /graphql/
[2025-01-19 22:38:03] WARNING django.server "POST /graphql/ HTTP/1.1" 400 156
[2025-01-19 22:38:16] WARNING django.request Bad Request: /graphql/
[2025-01-19 22:38:16] WARNING django.server "POST /graphql/ HTTP/1.1" 400 156
[2025-01-19 22:46:02] INFO django.utils.autoreload C:\Users\Lion\Desktop\yekikame\YekiKameDjango_Org\Eventapp\schema.py changed, reloading.
[2025-01-19 22:46:02] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-19 22:46:09] INFO django.server "POST /graphql/ HTTP/1.1" 200 604
[2025-01-19 22:55:11] INFO django.server "POST /graphql/ HTTP/1.1" 200 23
[2025-01-19 22:55:18] INFO django.server "POST /graphql/ HTTP/1.1" 200 39
[2025-01-19 22:55:18] INFO django.server "POST /graphql/ HTTP/1.1" 200 72
[2025-01-19 22:55:27] INFO django.server "POST /graphql/ HTTP/1.1" 200 39
[2025-01-19 22:55:27] INFO django.server "POST /graphql/ HTTP/1.1" 200 72
[2025-01-19 22:55:33] INFO django.server "POST /graphql/ HTTP/1.1" 200 29
